source,target,first_year
robert-delaunay,jean-metzinger,1906
robert-delaunay,marsden-hartley,1912
robert-delaunay,albert-gleizes,1910
robert-delaunay,sonia-delaunay,1909
robert-delaunay,marie-laurencin,1911
benedetta-cappa,giacomo-balla,1917
jean-bertholle,jean-bertholle,1909
morgan-russell,pablo-picasso,1909
morgan-russell,thomas-hart-benton,1912
elsa-von-freytag-loringhoven,marcel-duchamp,1915
suzanne-duchamp,marcel-duchamp,1909
hannah-hoch,kurt-schwitters,1918
hannah-hoch,john-heartfield,1917
naum-gabo,alexander-rodchenko,1920
ludwig-mies-van-der-rohe,le-corbusier,1908
henryk-berlewi,el-lissitzky,1920
katarzyna-kobro,wladyslaw-strzeminski,1920
bart-van-der-leck,piet-mondrian,1917
bart-van-der-leck,theo-van-doesburg,1917
otto-constantin,otto-constantin,1903
william-james-glackens,robert-henri,1892
william-james-glackens,george-luks,1893
william-james-glackens,maurice-prendergast,1908
william-james-glackens,carl-rungius,1913
william-james-glackens,ivan-albright,1905
william-james-glackens,john-french-sloan,1884
william-james-glackens,elenore-abbott,1899
william-james-glackens,george-bellows,1908
rolf-amstrong,norman-rockwell,1920
qi-baishi,qi-baishi,1917
xu-beihong,lin-fengmian,1920
hiroshi-yoshida,toshi-yoshida,1911
kanae-yamamoto,claude-monet,1912
kanae-yamamoto,henri-matisse,1912
paul-jacoulet,noguchi-isamu,1910
karimeh-abbud,karimeh-abbud,1913
karl-blossfeldt,karl-blossfeldt,1890
eugene-atget,luc-olivier-merson,1898
jose-santiago-garnelo-y-alda,pablo-picasso,1895
ivan-mrkvicka,georgi-mashev,1912
a-y-jackson,arthur-lismer,1911
a-y-jackson,j-e-h-macdonald,1913
georgia-o-keeffe,florine-stettheimer,1916
georgia-o-keeffe,alfred-stieglitz,1916
marevna-marie-vorobieff,diego-rivera,1915
frank-w-benson,willard-metcalf,1884
frank-w-benson,childe-hassam,1898
alfred-parsons,john-singer-sargent,1885
jessie-arms-botke,jessie-arms-botke,1897
pavel-filonov,kazimir-malevich,1913
natalia-goncharova,wassily-kandinsky,1911
natalia-goncharova,pablo-picasso,1906
natalia-goncharova,mikhail-larionov,1900
martiros-sarian,henri-matisse,1905
raoul-dufy,henri-matisse,1905
raoul-dufy,claude-monet,1898
raoul-dufy,georges-braque,1905
raoul-dufy,albert-marquet,1905
raoul-dufy,othon-friesz,1895
raoul-dufy,carlos-nadal,1920
marc-chagall,el-lissitzky,1906
marc-chagall,kazimir-malevich,1919
marc-chagall,jury-annenkov,1908
marc-chagall,fernand-leger,1909
marc-chagall,ossip-zadkine,1900
marc-chagall,leon-bakst,1908
marc-chagall,chaim-soutine,1913
marc-chagall,sirak-skitnik,1908
kazimir-malevich,victor-palmov,1915
kazimir-malevich,vladimir-tatlin,1915
mykhailo-boychuk,felix-vallotton,1907
mykhailo-boychuk,paul-serusier,1907
mykhailo-boychuk,maurice-denis,1907
mykhailo-boychuk,vasyl-sedlyar,1919
jean-hugo,pablo-picasso,1920
florine-stettheimer,marcel-duchamp,1915
joan-miro,joaquin-torres-garcia,1911
el-lissitzky,alexander-rodchenko,1919
mstislav-dobuzhinsky,eugene-lanceray,1914
mstislav-dobuzhinsky,heorhiy-narbut,1906
vasyl-yermylov,ilya-mashkov,1913
vasyl-yermylov,pyotr-konchalovsky,1913
diego-rivera,david-alfaro-siqueiros,1919
diego-rivera,pablo-picasso,1913
diego-rivera,roberto-montenegro,1904
diego-rivera,carlos-merida,1920
diego-rivera,thomas-hart-benton,1909
